filename,processed_file,PSNR
narrow_brown-136-_jpg.rf.852ffd7bc98139c879ea381905ff0f55.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-136-_jpg.rf.852ffd7bc98139c879ea381905ff0f55 HE_L.jpg,17.20
narrow_brown-137-_jpg.rf.8f041bc2befc04ee5dcdca96424c5509.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-137-_jpg.rf.8f041bc2befc04ee5dcdca96424c5509 HE_L.jpg,16.87
narrow_brown-138-_jpg.rf.1be2da74475e6e992a69264bf93aa0cb.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-138-_jpg.rf.1be2da74475e6e992a69264bf93aa0cb HE_L.jpg,17.50
narrow_brown-139-_jpg.rf.9779ed2b305c1273d5ce1270bab5b222.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-139-_jpg.rf.9779ed2b305c1273d5ce1270bab5b222 HE_L.jpg,14.78
narrow_brown-14-_jpg.rf.3c16c16be3dbcbcc719e6d2816b29152.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-14-_jpg.rf.3c16c16be3dbcbcc719e6d2816b29152 HE_L.jpg,12.67
narrow_brown-140-_jpg.rf.c37f280419ec5b42d9c8f754e7f0641d.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-140-_jpg.rf.c37f280419ec5b42d9c8f754e7f0641d HE_L.jpg,14.56
narrow_brown-141-_jpg.rf.b031518c4ed28fbb82d4cc7c3a1f69cc.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-141-_jpg.rf.b031518c4ed28fbb82d4cc7c3a1f69cc HE_L.jpg,15.87
narrow_brown-142-_jpg.rf.26070ed67e21bb9d71832247ab8f988b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-142-_jpg.rf.26070ed67e21bb9d71832247ab8f988b HE_L.jpg,14.83
narrow_brown-143-_jpg.rf.e29fee575871d5a8fe7353415292bfd8.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-143-_jpg.rf.e29fee575871d5a8fe7353415292bfd8 HE_L.jpg,14.36
narrow_brown-144-_jpg.rf.e31a3479247e7a0696ca5e93d951d6a4.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-144-_jpg.rf.e31a3479247e7a0696ca5e93d951d6a4 HE_L.jpg,15.99
narrow_brown-145-_jpg.rf.c0f25973256434e2c64135a43706b679.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-145-_jpg.rf.c0f25973256434e2c64135a43706b679 HE_L.jpg,12.87
narrow_brown-146-_jpg.rf.b43ecc60442e1f67101b464da94c349b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-146-_jpg.rf.b43ecc60442e1f67101b464da94c349b HE_L.jpg,13.91
narrow_brown-147-_jpg.rf.f37de5bea04866d5e943dc4823436dda.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-147-_jpg.rf.f37de5bea04866d5e943dc4823436dda HE_L.jpg,14.05
narrow_brown-148-_jpg.rf.22406b733bcd1912a74a0458167eb197.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-148-_jpg.rf.22406b733bcd1912a74a0458167eb197 HE_L.jpg,14.81
narrow_brown-149-_jpg.rf.57b5977525a19020d6c1be089fdb611a.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-149-_jpg.rf.57b5977525a19020d6c1be089fdb611a HE_L.jpg,13.61
narrow_brown-15-_jpg.rf.5bc844c07493fab084723b5a53adbd05.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-15-_jpg.rf.5bc844c07493fab084723b5a53adbd05 HE_L.jpg,10.77
narrow_brown-150-_jpg.rf.3c5ca2643d8acc3daa2662255d9362b1.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-150-_jpg.rf.3c5ca2643d8acc3daa2662255d9362b1 HE_L.jpg,13.34
narrow_brown-151-_jpg.rf.a066e5d7ef6174560e6ad9522d05d9a5.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-151-_jpg.rf.a066e5d7ef6174560e6ad9522d05d9a5 HE_L.jpg,14.41
narrow_brown-152-_jpg.rf.4de30a7e6af20120ff1484ed99fe64cb.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-152-_jpg.rf.4de30a7e6af20120ff1484ed99fe64cb HE_L.jpg,14.46
narrow_brown-153-_jpg.rf.ee3f944c40dcfb0448f28c140822c515.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-153-_jpg.rf.ee3f944c40dcfb0448f28c140822c515 HE_L.jpg,14.80
narrow_brown-154-_jpg.rf.d4fe6d310f436f30875fa4b5a9f981d4.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-154-_jpg.rf.d4fe6d310f436f30875fa4b5a9f981d4 HE_L.jpg,12.16
narrow_brown-155-_jpg.rf.7950509b93bb422e6164388d24a81633.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-155-_jpg.rf.7950509b93bb422e6164388d24a81633 HE_L.jpg,12.69
narrow_brown-156-_jpg.rf.375a008184f5c8fc1bc0390c0be032df.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-156-_jpg.rf.375a008184f5c8fc1bc0390c0be032df HE_L.jpg,11.25
narrow_brown-157-_jpg.rf.8c227c0c38b3d62a9d691ca9ac478a76.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-157-_jpg.rf.8c227c0c38b3d62a9d691ca9ac478a76 HE_L.jpg,12.17
narrow_brown-158-_jpg.rf.0bd8a6b040e72ac608e60aa45a11aa3b.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-158-_jpg.rf.0bd8a6b040e72ac608e60aa45a11aa3b HE_L.jpg,12.06
narrow_brown-16-_jpg.rf.4032e7a7a4776d235f0c205f8737f660.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-16-_jpg.rf.4032e7a7a4776d235f0c205f8737f660 HE_L.jpg,10.20
narrow_brown-160-_jpg.rf.59e6ef58f5de9dc1a5b3563ae2d1196f.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-160-_jpg.rf.59e6ef58f5de9dc1a5b3563ae2d1196f HE_L.jpg,13.61
narrow_brown-161-_jpg.rf.34c327e8d7ca3b84b25579fec42a90fa.jpg,C:\Users\ihver\Desktop\ay2023-2024-2nd-sem-cmsc190-sp2-ihvergara\images\dataset_HE_L\narrow_brown_spot_HE_L\narrow_brown-161-_jpg.rf.34c327e8d7ca3b84b25579fec42a90fa HE_L.jpg,14.66
